_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
688741,179 Lawrence Ave W,Appeal - Front Yard Parking,0,33,95,31,24,25% of ballots received by voters,0,93,2,2,7/22/2016,0,95,7/23/2019,6/22/2016,18,50% + 1 of received ballots,FYPA 2016-106,460,In Favour,109,Yes
688742,59 Bellefair Ave,Front Yard Parking,0,96,119,85,30,25% of ballots received by voters,2,118,1,9,7/23/2016,0,119,7/24/2019,6/23/2016,49,50% + 1 of received ballots,FYP 2016-108,462,In Favour,155,Yes
688743,77 Leuty Ave,Front Yard Parking,0,56,114,26,27,25% of ballots received by voters,23,108,6,7,7/20/2016,2,114,7/21/2019,6/20/2016,29,50% + 1 of received ballots,FYP 2016-109,463,Opposed,128,Yes
688744,252 Glenrose Ave,Appeal - Front Yard Parking,0,49,70,37,17,25% of ballots received by voters,7,66,4,5,7/21/2016,1,70,7/22/2019,6/21/2016,26,50% + 1 of received ballots,FYPA 2016-110,464,In Favour,82,Yes
688745,69 Deloraine Ave,Front Yard Parking,0,44,110,34,27,25% of ballots received by voters,2,108,2,8,7/22/2016,0,110,7/23/2019,6/22/2016,23,50% + 1 of received ballots,FYP 2016-111,465,In Favour,126,Yes
688746,14 Larkin Ave,Front Yard Parking,0,49,76,46,19,25% of ballots received by voters,1,75,1,2,7/22/2016,0,76,7/23/2019,6/22/2016,26,50% + 1 of received ballots,FYP 2016-112,466,In Favour,100,Yes
688747,575 Hillsdale Ave E,Front Yard Parking,0,71,130,54,32,25% of ballots received by voters,14,126,4,3,7/27/2016,0,130,7/28/2019,6/27/2016,37,50% + 1 of received ballots,FYP 2016-113,467,In Favour,149,Yes
688748,2366 Bloor St W,Boulevard Cafe,0,11,44,5,11,25% of ballots received by voters,5,43,1,1,7/27/2016,0,44,7/28/2018,6/27/2016,7,50% + 1 of received ballots,BCP 2016-114,468,Opposed,50,Yes
688749,347 Windermere Ave,Front Yard Parking,0,12,23,10,6,25% of ballots received by voters,2,22,1,0,7/27/2016,2,23,7/28/2019,6/27/2016,7,50% + 1 of received ballots,FYP 2016-115,469,In Favour,28,Yes
688750,,Traffic Calming,0,43,72,19,37,50% + 1 of ballots received by voters,22,72,0,2,10/6/2016,0,72,10/7/2018,9/6/2016,26,60% of received ballots,TCP 2016-116,470,Opposed,85,Yes
688751,,Traffic Calming,0,34,64,24,32,50% + 1 of ballots received by voters,9,61,3,1,10/6/2016,0,64,10/7/2018,9/6/2016,21,60% of received ballots,TCP 2016-117,471,In Favour,77,Yes
688752,604 King St W,Boulevard Cafe,0,7,13,2,4,25% of ballots received by voters,5,13,0,0,10/12/2016,0,13,10/13/2018,9/12/2016,5,50% + 1 of received ballots,BCP 2016-118,472,Opposed,24,Yes
688753,,Traffic Calming,0,11,30,5,14,50% + 1 of ballots received by voters,6,25,5,0,10/29/2016,0,30,10/30/2018,9/29/2016,,60% of received ballots,TCP 2016-119,474,Response Rate Not Met,34,No
688754,,Traffic Calming,0,76,116,43,56,50% + 1 of ballots received by voters,27,109,7,6,10/7/2016,0,116,10/8/2018,9/7/2016,46,60% of received ballots,TCP 2016-120,475,Opposed,139,Yes
688755,,Traffic Calming,0,89,319,46,119,50% + 1 of ballots received by voters,28,236,83,15,10/7/2016,0,319,10/8/2018,9/7/2016,,60% of received ballots,TCP 2016-121,476,Response Rate Not Met,395,No
688756,,Traffic Calming,0,94,188,61,81,50% + 1 of ballots received by voters,24,159,29,9,10/7/2016,0,188,10/8/2018,9/7/2016,57,60% of received ballots,TCP 2016-122,477,In Favour,213,Yes
688757,,Traffic Calming,0,25,64,25,30,50% + 1 of ballots received by voters,0,57,7,0,10/8/2016,0,64,10/9/2018,9/8/2016,,60% of received ballots,TCP 2016-123,478,Response Rate Not Met,77,No
688758,40 Warland Ave,Front Yard Parking,0,57,103,39,26,25% of ballots received by voters,5,102,1,13,10/20/2016,0,103,10/21/2019,9/20/2016,30,50% + 1 of received ballots,FYP 2016-124,479,In Favour,114,Yes
688759,129 Ronan Ave,Front Yard Parking,0,41,70,35,18,25% of ballots received by voters,1,70,0,5,10/14/2016,0,70,10/15/2019,9/14/2016,22,50% + 1 of received ballots,FYP 2016-126,483,In Favour,94,Yes
688760,530 Soudan Ave,Appeal - Front Yard Parking,0,30,48,30,12,25% of ballots received by voters,0,48,0,0,10/13/2016,0,48,10/14/2019,9/13/2016,16,50% + 1 of received ballots,FYPA 2016-127,484,In Favour,57,Yes
688761,86 Balmoral Ave,Appeal - Front Yard Parking,0,71,133,46,33,25% of ballots received by voters,22,130,3,3,10/15/2016,0,133,10/16/2019,9/15/2016,37,50% + 1 of received ballots,FYPA 2016-128,485,In Favour,146,Yes
688762,76 Nealon Ave,Front Yard Parking,0,41,78,38,20,25% of ballots received by voters,2,77,1,1,10/14/2016,0,78,10/15/2019,9/14/2016,22,50% + 1 of received ballots,FYP 2016-129,486,In Favour,92,Yes
688763,171 Blackthorn Ave,Appeal - Front Yard Parking,0,92,194,74,46,25% of ballots received by voters,8,182,12,10,10/20/2016,0,194,10/21/2019,9/20/2016,47,50% + 1 of received ballots,FYPA 2016-130,487,In Favour,251,Yes
688764,439 Manor Rd E,Front Yard Parking,0,26,44,26,11,25% of ballots received by voters,0,41,3,0,10/15/2016,0,44,10/16/2019,9/15/2016,14,50% + 1 of received ballots,FYP 2016-131,488,In Favour,47,Yes
688765,2 Plains Rd,Appeal - Front Yard Parking,0,7,15,6,4,25% of ballots received by voters,1,15,0,0,10/19/2016,0,15,10/20/2019,9/19/2016,5,50% + 1 of received ballots,FYPA 2016-132,489,In Favour,21,Yes
688766,487 Winnett Ave,Front Yard Parking,0,35,46,32,11,25% of ballots received by voters,1,43,3,2,10/15/2016,0,46,10/16/2019,9/15/2016,19,50% + 1 of received ballots,FYP 2016-133,490,In Favour,55,Yes
688767,162 Ossington Ave,Boulevard Cafe,0,28,127,7,30,25% of ballots received by voters,13,117,10,8,10/19/2016,0,127,10/20/2018,9/19/2016,,50% + 1 of received ballots,BCP 2016-136,493,Response Rate Not Met,160,No
688768,,Traffic Calming,0,204,461,138,223,50% + 1 of ballots received by voters,48,443,18,18,10/28/2016,1,461,10/29/2018,9/28/2016,,60% of received ballots,TCP 2016-137,494,Response Rate Not Met,579,No
688769,600 King St W,Boulevard Cafe,0,3,14,1,4,25% of ballots received by voters,2,14,0,0,10/21/2016,0,14,10/22/2018,9/21/2016,,50% + 1 of received ballots,BCP 2016-138,495,Response Rate Not Met,23,No
688770,1032 Queen St W,Boulevard Cafe,0,30,115,2,29,25% of ballots received by voters,25,114,1,3,10/26/2016,2,115,10/27/2018,9/26/2016,16,50% + 1 of received ballots,BCP 2016-139,496,Opposed,139,Yes
688771,3076 Dundas St W,Boulevard Cafe,0,37,118,25,24,25% of ballots received by voters,11,96,22,1,10/29/2016,0,118,10/30/2018,9/29/2016,20,50% + 1 of received ballots,BCP 2016-140,497,In Favour,146,Yes
688772,3074 Dundas St W,Boulevard Cafe,0,26,114,17,26,25% of ballots received by voters,5,101,13,4,11/2/2016,0,114,11/3/2018,10/3/2016,14,50% + 1 of received ballots,BCP 2016-141,498,In Favour,142,Yes
688773,1595 Dupont St,Boulevard Cafe,0,29,66,23,16,25% of ballots received by voters,0,64,2,6,11/2/2016,0,66,11/3/2018,10/3/2016,16,50% + 1 of received ballots,BCP 2016-142,499,In Favour,81,Yes
688774,618 Yonge St,Boulevard Cafe,0,0,5,0,2,25% of ballots received by voters,0,5,0,0,11/3/2016,0,5,11/4/2018,10/4/2016,,50% + 1 of received ballots,BCP 2016-143,500,Response Rate Not Met,12,No
688775,69 Clouston Ave,Appeal - Front Yard Parking,0,26,71,17,18,25% of ballots received by voters,9,71,0,0,11/2/2016,0,71,11/3/2019,10/3/2016,14,50% + 1 of received ballots,FYPA 2016-144,501,In Favour,92,Yes
688776,,Traffic Calming,0,105,225,76,113,50% + 1 of ballots received by voters,24,224,1,5,11/10/2016,0,225,11/11/2018,10/11/2016,,60% of received ballots,TCP 2016-145,502,Response Rate Not Met,273,No
688777,66 Dynevor Rd,Appeal - Front Yard Parking,0,63,116,60,28,25% of ballots received by voters,0,111,5,3,11/2/2016,0,116,11/3/2019,10/3/2016,33,50% + 1 of received ballots,FYPA 2016-146,504,In Favour,150,Yes
688778,24 Roseneath Gdns,Appeal - Front Yard Parking,0,46,125,35,30,25% of ballots received by voters,6,120,5,5,10/29/2016,0,125,10/30/2019,9/29/2016,24,50% + 1 of received ballots,FYPA 2016-147,505,In Favour,146,Yes
688779,12 Geary Ave,Front Yard Parking,0,10,12,10,3,25% of ballots received by voters,0,12,0,0,11/2/2016,0,12,11/3/2019,10/3/2016,6,50% + 1 of received ballots,FYP 2016-148,506,In Favour,25,Yes
688780,12 Norway Ave,Front Yard Parking,0,26,40,22,10,25% of ballots received by voters,1,40,0,3,11/3/2016,0,40,11/4/2019,10/4/2016,14,50% + 1 of received ballots,FYP 2016-149,507,In Favour,48,Yes
688781,11 Spring Grove Ave,Appeal - Front Yard Parking,0,32,81,22,21,25% of ballots received by voters,8,81,0,2,11/3/2016,0,81,11/4/2019,10/4/2016,17,50% + 1 of received ballots,FYPA 2016-150,508,In Favour,102,Yes
688782,163 Arlington Ave,Front Yard Parking,0,50,88,48,22,25% of ballots received by voters,0,88,0,2,11/5/2016,0,88,11/6/2019,10/6/2016,26,50% + 1 of received ballots,FYP 2016-151,509,In Favour,180,Yes
688783,85 Castleton Ave,Front Yard Parking,0,28,41,27,10,25% of ballots received by voters,1,40,1,0,11/4/2016,0,41,11/5/2019,10/5/2016,15,50% + 1 of received ballots,FYP 2016-152,510,In Favour,52,Yes
688784,115 Humbercrest Blvd,Front Yard Parking,0,40,64,30,16,25% of ballots received by voters,7,64,0,3,11/3/2016,0,64,11/4/2019,10/4/2016,21,50% + 1 of received ballots,FYP 2016-153,511,In Favour,73,Yes
688785,354 Briar Hill Ave,Front Yard Parking,0,58,96,41,23,25% of ballots received by voters,1,91,5,16,11/4/2016,0,96,11/5/2019,10/5/2016,30,50% + 1 of received ballots,FYP 2016-154,512,In Favour,102,Yes
688786,175 Chambers Ave,Appeal - Front Yard Parking,0,31,112,27,27,25% of ballots received by voters,0,105,7,4,11/4/2016,0,112,11/5/2019,10/5/2016,17,50% + 1 of received ballots,FYPA 2016-155,513,In Favour,143,Yes
688787,137 Hillsdale Ave E,Appeal - Front Yard Parking,0,55,117,48,28,25% of ballots received by voters,5,110,7,2,11/5/2016,1,117,11/6/2019,10/6/2016,29,50% + 1 of received ballots,FYPA 2016-156,514,In Favour,133,Yes
688788,89 Brookside Ave,Front Yard Parking,0,71,136,65,32,25% of ballots received by voters,3,128,8,3,11/5/2016,1,136,11/6/2019,10/6/2016,37,50% + 1 of received ballots,FYP 2016-157,515,In Favour,151,Yes
688789,327 Forman Ave,Front Yard Parking,0,48,83,44,21,25% of ballots received by voters,1,81,2,3,11/5/2016,0,83,11/6/2019,10/6/2016,25,50% + 1 of received ballots,FYP 2016-158,516,In Favour,145,Yes
688790,75 Earlsdale Ave,Appeal - Front Yard Parking,0,40,84,31,19,25% of ballots received by voters,2,74,10,7,11/10/2016,0,84,11/11/2019,10/11/2016,21,50% + 1 of received ballots,FYPA 2016-159,517,In Favour,104,Yes
688791,226 Hillsdale Ave E,Appeal - Front Yard Parking,0,36,85,30,21,25% of ballots received by voters,4,82,3,2,11/10/2016,0,85,11/11/2019,10/11/2016,19,50% + 1 of received ballots,FYPA 2016-160,518,In Favour,93,Yes
688792,68 Glen Manor Dr,Appeal - Front Yard Parking,0,22,140,16,28,25% of ballots received by voters,5,110,30,1,11/10/2016,0,140,11/11/2019,10/11/2016,,50% + 1 of received ballots,FYPA 2016-161,519,Response Rate Not Met,170,No
688793,,Traffic Calming,0,27,31,22,17,50% + 1 of ballots received by voters,4,31,0,1,11/11/2016,0,31,11/12/2018,10/12/2016,17,60% of received ballots,TCP 2016-162,522,In Favour,35,Yes
688794,24 Linnsmore Cres,Front Yard Parking,0,57,74,55,17,25% of ballots received by voters,0,68,6,2,11/10/2016,0,74,11/11/2019,10/11/2016,30,50% + 1 of received ballots,FYP 2016-163,523,In Favour,86,Yes
688795,350 Brookdale Ave,Front Yard Parking,0,49,106,47,27,25% of ballots received by voters,0,105,1,2,11/10/2016,0,106,11/11/2019,10/11/2016,26,50% + 1 of received ballots,FYP 2016-164,524,In Favour,128,Yes
688796,86 Robina Ave,Appeal - Front Yard Parking,0,72,153,49,36,25% of ballots received by voters,4,144,9,19,11/23/2016,0,153,11/24/2019,10/24/2016,37,50% + 1 of received ballots,FYPA 2016-165,525,In Favour,184,Yes
688797,120 Blackthorn Ave,Appeal - Front Yard Parking,0,36,106,31,26,25% of ballots received by voters,2,101,5,3,11/23/2016,0,106,11/24/2019,10/24/2016,19,50% + 1 of received ballots,FYPA 2016-166,526,In Favour,136,Yes
688798,,Traffic Calming – Island,0,26,30,15,16,50% + 1 of ballots received by voters,10,30,0,1,11/11/2016,1,30,11/12/2018,10/12/2016,16,60% of received ballots,TCIP 2016-167,527,Opposed,37,Yes
688799,11 Grimthorpe Rd,Front Yard Parking,0,15,50,13,13,25% of ballots received by voters,0,49,1,2,11/16/2016,0,50,11/17/2019,10/17/2016,9,50% + 1 of received ballots,FYP 2016-168,528,In Favour,58,Yes
688800,98 Hatherley Rd,Front Yard Parking,0,32,93,21,24,25% of ballots received by voters,1,93,0,10,11/16/2016,0,93,11/17/2019,10/17/2016,17,50% + 1 of received ballots,FYP 2016-169,529,In Favour,104,Yes
688801,908 Queen St E,Boulevard Cafe,0,10,20,4,5,25% of ballots received by voters,6,18,2,0,11/24/2016,0,20,11/25/2018,10/25/2016,6,50% + 1 of received ballots,BCP 2016-170,530,Opposed,27,Yes
688802,,Traffic Calming,0,243,569,170,267,50% + 1 of ballots received by voters,39,532,37,34,10/26/2016,36,569,10/27/2018,9/26/2016,,60% of received ballots,TCP 2016-171,531,Response Rate Not Met,671,No
688803,3 Royal St,Appeal - Front Yard Parking,0,41,92,36,23,25% of ballots received by voters,3,90,2,2,11/24/2016,0,92,11/25/2019,10/25/2016,22,50% + 1 of received ballots,FYPA 2016-172,532,In Favour,102,Yes
688804,5 Somerville Ave,Appeal - Front Yard Parking,0,40,73,30,19,25% of ballots received by voters,6,73,0,4,11/16/2016,0,73,11/17/2019,10/17/2016,21,50% + 1 of received ballots,FYPA 2016-173,533,In Favour,91,Yes
688805,45 Herbert Ave,Appeal - Front Yard Parking,0,43,136,24,34,25% of ballots received by voters,17,136,0,2,11/23/2016,0,136,11/24/2019,10/24/2016,23,50% + 1 of received ballots,FYPA 2016-174,534,In Favour,156,Yes
688806,6 Hollis St,Appeal - Front Yard Parking,0,26,40,22,10,25% of ballots received by voters,0,40,0,4,11/24/2016,0,40,11/25/2019,10/25/2016,14,50% + 1 of received ballots,FYPA 2016-175,535,In Favour,49,Yes
688807,24 Belgravia Ave,Appeal - Front Yard Parking,0,42,121,32,30,25% of ballots received by voters,8,120,1,2,11/24/2016,0,121,11/25/2019,10/25/2016,22,50% + 1 of received ballots,FYPA 2016-176,536,In Favour,146,Yes
688808,45A Benlamond Ave,Appeal - Front Yard Parking,0,42,109,29,27,25% of ballots received by voters,7,108,1,6,12/7/2016,4,109,12/8/2019,11/7/2016,22,50% + 1 of received ballots,FYPA 2016-177,537,In Favour,130,Yes
688809,14 Somerville Ave,Appeal - Front Yard Parking,0,37,70,27,18,25% of ballots received by voters,5,70,0,5,11/25/2016,1,70,11/26/2019,10/26/2016,20,50% + 1 of received ballots,FYPA 2016-178,538,In Favour,85,Yes
688810,33 Livingstone Ave,Appeal - Front Yard Parking,0,47,130,27,32,25% of ballots received by voters,13,128,2,7,11/26/2016,0,130,11/27/2019,10/27/2016,25,50% + 1 of received ballots,FYPA 2016-179,539,In Favour,146,Yes
688811,485 Lauder Ave,Appeal - Front Yard Parking,0,50,130,32,32,25% of ballots received by voters,16,127,3,2,11/26/2016,0,130,11/27/2019,10/27/2016,26,50% + 1 of received ballots,FYPA 2016-181,541,In Favour,157,Yes
688812,8 Norway Ave,Appeal - Front Yard Parking,0,25,47,19,11,25% of ballots received by voters,1,44,3,5,12/3/2016,0,47,12/4/2019,11/3/2016,14,50% + 1 of received ballots,FYPA 2016-182,542,In Favour,56,Yes
688813,535 Queen St W,Boulevard Cafe,0,28,162,17,39,25% of ballots received by voters,4,156,6,7,12/7/2016,0,162,12/8/2018,11/7/2016,,50% + 1 of received ballots,BCP 2016-183,543,Response Rate Not Met,169,No
688814,35 Waller Ave,Front Yard Parking,0,47,70,43,18,25% of ballots received by voters,1,69,1,3,12/3/2016,0,70,12/4/2019,11/3/2016,25,50% + 1 of received ballots,FYP 2016-184,544,In Favour,80,Yes
688815,,Permit Parking,0,5,31,2,7,25% of ballots received by voters,3,27,4,0,12/3/2016,0,31,12/4/2018,11/3/2016,,50% + 1 of received ballots,PPP 2016-185,545,Response Rate Not Met,37,No
688816,575 Merton St,Front Yard Parking,0,57,105,41,26,25% of ballots received by voters,6,104,1,10,12/8/2016,1,105,12/9/2019,11/8/2016,30,50% + 1 of received ballots,FYP 2016-186,546,In Favour,129,Yes
688817,162 Hammersmith Ave,Appeal - Front Yard Parking,0,45,90,23,22,25% of ballots received by voters,20,85,5,2,12/7/2016,0,90,12/8/2019,11/7/2016,24,50% + 1 of received ballots,FYPA 2016-187,547,Opposed,103,Yes
688818,466 Castlefield Ave,Front Yard Parking,0,49,83,38,20,25% of ballots received by voters,0,79,4,11,12/7/2016,0,83,12/8/2019,11/7/2016,26,50% + 1 of received ballots,FYP 2016-188,548,In Favour,95,Yes
688819,132 Hopedale Ave,Front Yard Parking,0,33,59,29,15,25% of ballots received by voters,4,57,2,0,12/10/2016,0,59,12/11/2019,11/10/2016,18,50% + 1 of received ballots,FYP 2016-189,549,In Favour,67,Yes
688820,519 Soudan Ave,Front Yard Parking,0,39,82,31,21,25% of ballots received by voters,4,82,0,4,12/9/2016,0,82,12/10/2019,11/9/2016,21,50% + 1 of received ballots,FYP 2016-190,550,In Favour,93,Yes
688821,91 Ypres Rd,Front Yard Parking,0,26,83,25,20,25% of ballots received by voters,1,79,4,0,12/8/2016,0,83,12/9/2019,11/8/2016,14,50% + 1 of received ballots,FYP 2016-192,552,In Favour,104,Yes
688822,30 Atlas Ave,Front Yard Parking,0,27,53,26,10,25% of ballots received by voters,1,37,16,0,12/9/2016,0,53,12/10/2019,11/9/2016,15,50% + 1 of received ballots,FYP 2016-193,553,In Favour,62,Yes
688823,46 Vernon St,Appeal - Front Yard Parking,0,65,135,55,32,25% of ballots received by voters,5,126,9,5,12/8/2016,0,135,12/9/2019,11/8/2016,34,50% + 1 of received ballots,FYPA 2016-194,554,In Favour,168,Yes
688824,114 Beresford Ave,Appeal - Front Yard Parking,0,44,92,38,21,25% of ballots received by voters,0,83,9,6,12/8/2016,0,92,12/9/2019,11/8/2016,23,50% + 1 of received ballots,FYPA 2016-195,555,In Favour,134,Yes
688825,292 Glen Rd,Appeal - Front Yard Parking,0,47,70,45,18,25% of ballots received by voters,0,69,1,2,12/9/2016,0,70,12/10/2019,11/9/2016,25,50% + 1 of received ballots,FYPA 2016-196,556,In Favour,83,Yes
688826,91 Ashdale Ave,Appeal - Front Yard Parking,0,37,93,18,23,25% of ballots received by voters,12,90,3,7,12/10/2016,0,93,12/11/2019,11/10/2016,20,50% + 1 of received ballots,FYPA 2016-197,557,Opposed,110,Yes
688827,691 Mount Pleasant Rd,Commercial Boulevard Parking,0,23,64,11,15,25% of ballots received by voters,11,57,7,1,12/14/2016,0,64,12/15/2018,11/14/2016,13,50% + 1 of received ballots,CBP 2016-198,558,Opposed,81,Yes
688828,224 Evelyn Ave,Front Yard Parking,0,38,104,13,25,25% of ballots received by voters,23,100,4,2,12/17/2016,0,104,12/18/2019,11/17/2016,20,50% + 1 of received ballots,FYP 2016-199,559,Opposed,125,Yes
688829,299 Waverley Rd,Front Yard Parking,0,67,156,52,36,25% of ballots received by voters,10,141,15,5,12/9/2016,0,156,12/10/2019,11/9/2016,35,50% + 1 of received ballots,FYP 2016-200,560,In Favour,185,Yes
688830,27 Westover Hill Rd,Front Yard Parking,0,41,74,28,19,25% of ballots received by voters,6,74,0,7,12/10/2016,0,74,12/11/2019,11/10/2016,22,50% + 1 of received ballots,FYP 2016-201,561,In Favour,88,Yes
688831,28 Lessard Ave,Front Yard Parking,0,56,109,54,26,25% of ballots received by voters,0,101,8,2,12/16/2016,0,109,12/17/2019,11/16/2016,29,50% + 1 of received ballots,FYP 2016-202,562,In Favour,134,Yes
688832,1184 Bloor St W,Boulevard Cafe,0,20,99,13,25,25% of ballots received by voters,0,98,1,7,12/17/2016,0,99,12/18/2018,11/17/2016,,50% + 1 of received ballots,BCP 2016-203,563,Response Rate Not Met,123,No
688833,450 Woburn Ave,Appeal - Front Yard Parking,0,47,78,41,20,25% of ballots received by voters,4,78,0,2,12/16/2016,1,78,12/17/2019,11/16/2016,25,50% + 1 of received ballots,FYPA 2016-204,564,In Favour,89,Yes
688834,452 Woburn Ave,Appeal - Front Yard Parking,0,48,83,42,21,25% of ballots received by voters,4,83,0,2,12/17/2016,1,83,12/18/2019,11/17/2016,25,50% + 1 of received ballots,FYPA 2016-205,565,In Favour,96,Yes
688835,2 Crosby Ave,Front Yard Parking,0,11,20,10,5,25% of ballots received by voters,0,20,0,1,12/21/2016,0,20,12/22/2019,11/21/2016,7,50% + 1 of received ballots,FYP 2016-206,566,In Favour,22,Yes
688836,42 Norway Ave,Front Yard Parking,0,32,47,29,10,25% of ballots received by voters,2,40,7,1,12/24/2016,2,47,12/25/2019,11/24/2016,17,50% + 1 of received ballots,FYP 2016-207,567,In Favour,92,Yes
688837,1 Astoria Ave,Front Yard Parking,0,26,42,26,11,25% of ballots received by voters,0,42,0,0,12/24/2016,0,42,12/25/2019,11/24/2016,14,50% + 1 of received ballots,FYP 2016-208,568,In Favour,49,Yes
688838,2620 Danforth Ave,Commercial Boulevard Parking,0,3,24,3,6,25% of ballots received by voters,0,24,0,0,1/21/2017,0,24,1/22/2019,12/22/2016,,50% + 1 of received ballots,CBP 2016-209,569,Response Rate Not Met,40,No
688839,364 Atlas Ave,Front Yard Parking,0,36,97,35,23,25% of ballots received by voters,0,92,5,1,12/23/2016,0,97,12/24/2019,11/23/2016,19,50% + 1 of received ballots,FYP 2016-210,570,In Favour,167,Yes
688840,224 Lonsmount Dr,Front Yard Parking,0,7,19,7,5,25% of ballots received by voters,0,19,0,0,12/30/2016,0,19,12/31/2019,11/30/2016,5,50% + 1 of received ballots,FYP 2016-211,571,In Favour,21,Yes
688841,88 Guestville Ave,Front Yard Parking,0,32,38,31,10,25% of ballots received by voters,0,38,0,1,12/23/2016,0,38,12/24/2019,11/23/2016,17,50% + 1 of received ballots,FYP 2016-212,572,In Favour,152,Yes
688842,585 Windermere Ave,Front Yard Parking,0,63,102,55,25,25% of ballots received by voters,8,99,3,0,12/24/2016,0,102,12/25/2019,11/24/2016,33,50% + 1 of received ballots,FYP 2016-213,573,In Favour,119,Yes
688843,,Traffic Calming,0,30,55,19,28,50% + 1 of ballots received by voters,8,53,2,3,1/4/2017,0,55,1/5/2019,12/5/2016,18,60% of received ballots,TCP 2016-214,574,In Favour,57,Yes
688844,,Traffic Calming,0,70,163,41,74,50% + 1 of ballots received by voters,25,146,17,4,1/5/2017,0,163,1/6/2019,12/6/2016,,60% of received ballots,TCP 2016-215,575,Response Rate Not Met,176,No
688845,215 Wanless Ave,Appeal - Front Yard Parking,0,33,42,31,11,25% of ballots received by voters,1,42,0,1,1/7/2017,0,42,1/8/2020,12/8/2016,18,50% + 1 of received ballots,FYPA 2016-216,576,In Favour,51,Yes
688846,54 Beresford Ave,Appeal - Front Yard Parking,0,25,97,20,24,25% of ballots received by voters,4,94,3,1,1/11/2017,0,97,1/12/2020,12/12/2016,14,50% + 1 of received ballots,FYPA 2016-217,577,In Favour,114,Yes
688847,7 Durie St,Appeal - Front Yard Parking,0,29,65,12,16,25% of ballots received by voters,17,61,4,0,1/11/2017,1,65,1/12/2020,12/12/2016,16,50% + 1 of received ballots,FYPA 2016-218,578,Opposed,73,Yes
688848,61 Forest Hill Rd,Appeal - Front Yard Parking,0,16,38,12,9,25% of ballots received by voters,4,36,2,0,1/13/2017,0,38,1/14/2020,12/14/2016,9,50% + 1 of received ballots,FYPA 2016-219,579,In Favour,38,Yes
688849,220 Roselawn Ave,Appeal - Front Yard Parking,0,32,66,30,16,25% of ballots received by voters,2,64,2,0,1/21/2017,7,66,1/22/2020,12/22/2016,17,50% + 1 of received ballots,FYPA 2016-220,580,In Favour,73,Yes
688850,76 Duggan Ave,Appeal - Front Yard Parking,0,54,96,50,23,25% of ballots received by voters,0,92,4,4,1/18/2017,1,96,1/19/2020,12/19/2016,28,50% + 1 of received ballots,FYPA 2016-221,581,In Favour,106,Yes
688851,88 Balmoral Ave,Appeal - Front Yard Parking,0,53,135,22,34,25% of ballots received by voters,27,135,0,4,1/11/2017,0,135,1/12/2020,12/12/2016,28,50% + 1 of received ballots,FYPA 2016-222,582,Opposed,151,Yes
688852,103 Roslin Ave,Appeal - Front Yard Parking,0,26,70,12,18,25% of ballots received by voters,9,69,1,5,1/18/2017,0,70,1/19/2020,12/19/2016,14,50% + 1 of received ballots,FYPA 2016-223,583,Opposed,80,Yes
688853,251 Oakwood Ave,Front Yard Parking,0,46,107,40,23,25% of ballots received by voters,1,90,17,5,1/18/2017,2,107,1/19/2020,12/19/2016,24,50% + 1 of received ballots,FYP 2016-224,584,In Favour,173,Yes
688854,425 Willard Ave,Front Yard Parking,0,41,65,41,16,25% of ballots received by voters,0,61,4,0,1/19/2017,0,65,1/20/2020,12/20/2016,22,50% + 1 of received ballots,FYP 2016-225,585,In Favour,80,Yes
688855,13 Chilton Rd,Front Yard Parking,0,28,39,24,9,25% of ballots received by voters,0,35,4,4,1/19/2017,0,39,1/20/2020,12/20/2016,15,50% + 1 of received ballots,FYP 2016-226,586,In Favour,40,Yes
688856,,Permit Parking,0,40,140,16,35,25% of ballots received by voters,17,139,1,7,2/11/2017,0,140,2/12/2019,1/12/2017,21,50% + 1 of received ballots,PPP 2016-227,587,Opposed,164,Yes
688857,97 Harbord St,Boulevard Cafe,0,25,92,15,23,25% of ballots received by voters,7,91,1,3,3/11/2017,0,92,3/12/2019,2/9/2017,14,50% + 1 of received ballots,BCP 2016-228,588,In Favour,107,Yes
688858,,Permit Parking,0,56,205,44,51,25% of ballots received by voters,8,203,2,4,1/20/2017,0,205,1/21/2019,12/21/2016,29,50% + 1 of received ballots,PPP 2016-229,589,In Favour,206,Yes
688859,,Permit Parking,0,10,22,7,5,25% of ballots received by voters,3,18,4,0,2/8/2017,0,22,2/9/2019,1/9/2017,6,50% + 1 of received ballots,PPP 2016-230,590,In Favour,23,Yes
688860,111 Auburn Ave,Front Yard Parking,0,34,76,29,19,25% of ballots received by voters,0,76,0,5,1/20/2017,0,76,1/21/2020,12/21/2016,18,50% + 1 of received ballots,FYP 2016-231,591,In Favour,94,Yes
